trip_id,driver_id,route_id,distance_km,stops,weather_score,traffic_score,hour_of_day,day_of_week,eta_minutes
1,41,8,18.63,4,0.245,0.14,3,5,50.9
2,38,28,22.32,1,0.219,0.505,0,4,49.6
3,13,35,233.64,7,0.589,0.809,0,6,333.4
4,22,18,89.74,5,0.102,0.38,11,6,142.3
5,23,39,149.16,0,0.73,0.536,12,0,189.3
6,40,24,319.66,1,0.046,0.228,9,0,404.7
7,55,15,477.23,6,0.278,0.636,11,1,618.5
8,18,5,336.98,2,0.534,0.245,14,3,426.5
9,18,36,124.69,5,0.843,0.776,7,6,192.3
10,18,5,119.99,5,0.213,0.499,20,3,186.5
11,10,17,81.1,8,0.539,0.747,13,4,148.6
12,9,33,273.97,0,0.861,0.153,5,6,336.3
13,44,28,330.04,6,0.382,0.996,16,2,459.0
14,1,8,376.53,8,0.751,0.769,10,0,501.4
15,19,28,91.2,0,0.954,0.876,8,4,132.4
16,7,20,463.71,8,0.609,0.153,5,4,589.4
17,50,34,505.58,5,0.489,0.112,11,6,635.7
18,16,37,521.09,1,0.732,0.816,17,6,650.5
19,9,9,364.56,8,0.165,0.528,19,3,500.2
20,49,13,393.56,6,0.995,0.65,14,4,507.6
21,29,8,140.11,1,0.338,0.588,7,4,196.5
22,41,4,129.77,0,0.86,0.071,7,2,161.1
23,43,32,121.76,2,0.723,0.882,18,3,179.5
24,27,13,56.41,6,0.354,0.411,23,0,113.2
25,44,7,38.03,5,0.801,0.109,6,1,66.7
26,12,18,257.13,1,0.443,0.861,17,0,341.4
27,4,35,460.64,1,0.926,0.849,5,3,575.8
28,26,4,94.73,0,0.985,0.265,14,2,120.8
29,28,36,365.72,7,0.155,0.297,1,4,483.3
30,21,4,32.33,7,0.503,0.853,5,0,90.7
31,33,6,468.98,1,0.595,0.675,7,3,595.4
32,16,38,329.01,1,0.419,0.584,16,2,427.4
33,60,17,116.32,5,0.239,0.396,21,5,177.3
34,49,5,10.08,1,0.073,0.213,8,1,38.1
35,60,23,485.07,3,0.37,0.158,17,5,602.3
36,52,34,9.26,8,0.299,0.663,4,2,77.1
37,8,7,409.62,2,0.272,0.605,22,2,526.2
38,17,33,271.25,0,0.092,0.424,8,0,355.2
39,1,22,425.26,4,0.162,0.442,22,3,546.1
40,57,10,302.35,5,0.583,0.148,4,0,389.5
41,20,24,494.94,0,0.899,0.21,7,5,606.3
42,57,27,535.74,2,0.926,0.237,5,6,661.1
43,52,12,485.37,0,0.179,0.924,13,6,614.7
44,16,18,91.76,1,0.383,0.039,15,1,118.1
45,13,30,195.56,3,0.223,0.66,12,2,273.1
46,50,18,196.37,8,0.4,0.981,17,2,298.7
47,2,8,482.99,4,0.179,0.963,8,0,633.3
48,47,21,242.83,8,0.116,0.9,6,2,357.8
49,3,28,5.92,8,0.687,0.94,23,5,64.7
50,43,22,344.62,1,0.72,0.3,9,5,432.8
51,27,21,224.31,4,0.554,0.192,21,3,290.9
52,40,37,169.02,8,0.834,0.304,6,3,233.2
53,51,38,335.63,5,0.465,0.442,6,4,430.8
54,51,11,364.07,4,0.515,0.633,10,0,475.4
55,53,16,371.67,3,0.807,0.147,1,1,468.5
56,50,5,253.2,3,0.718,0.384,12,1,327.6
57,10,1,491.5,1,0.778,0.219,22,4,597.1
58,59,8,253.77,7,0.668,0.988,19,2,359.8
59,49,29,338.9,8,0.427,0.907,14,1,465.8
60,17,16,462.73,4,0.766,0.521,20,1,581.3
61,18,29,47.23,4,0.234,0.336,17,0,92.4
62,45,10,390.0,1,0.415,0.331,14,3,490.8
63,4,14,458.93,6,0.905,0.584,22,0,592.0
64,25,31,8.21,5,0.299,0.39,13,4,42.3
65,48,35,440.93,3,0.488,0.273,15,0,549.6
66,52,26,399.68,7,0.92,0.981,17,0,533.7
67,59,26,327.58,0,0.084,0.429,14,1,421.3
68,14,30,183.13,6,0.278,0.951,13,2,276.6
69,54,6,261.32,8,0.052,0.952,7,5,388.7
70,3,2,522.54,3,0.839,0.621,7,1,659.7
71,31,8,312.36,3,0.465,0.256,11,1,391.7
72,46,8,428.9,2,0.965,0.108,0,2,518.5
73,37,25,221.18,3,0.076,0.691,20,1,312.6
74,55,39,444.01,0,0.347,0.428,11,0,557.4
75,33,22,11.9,6,0.822,0.106,11,5,44.0
76,10,28,100.99,8,0.965,0.27,17,6,153.7
77,31,30,242.39,4,0.322,0.245,2,2,323.4
78,30,37,337.63,6,0.336,0.494,10,1,446.4
79,32,14,198.38,4,0.34,0.88,22,2,279.4
80,13,6,136.54,6,0.489,0.758,22,3,209.8
81,42,32,249.26,0,0.093,0.222,22,1,316.4
82,31,36,294.35,6,0.997,0.55,11,5,393.0
83,30,18,172.11,3,0.121,0.193,3,5,228.4
84,12,13,122.93,7,0.276,0.59,16,4,196.1
85,19,7,458.78,4,0.227,0.179,0,5,577.5
86,4,36,164.21,2,0.638,0.753,3,6,227.6
87,1,37,159.96,7,0.44,0.184,1,2,233.7
88,53,5,223.39,1,0.577,0.686,4,1,293.4
89,52,37,522.27,1,0.994,0.118,13,4,628.7
90,50,34,212.31,7,0.297,0.589,13,2,301.4
91,37,40,37.83,1,0.948,0.208,6,2,53.6
92,12,36,45.91,0,0.409,0.689,15,2,79.2
93,3,15,162.02,4,0.703,0.454,21,1,230.5
94,41,38,365.34,3,0.425,0.545,20,1,467.9
95,59,18,455.51,1,0.06,0.793,19,5,588.1
96,29,8,260.44,4,0.7,0.943,16,4,346.5
97,32,29,48.84,0,0.889,0.735,19,2,81.5
98,44,37,324.98,0,1.0,0.672,8,4,407.2
99,3,12,261.42,7,0.916,0.181,18,3,340.9
100,6,31,194.64,5,0.321,0.105,5,2,260.4
101,27,32,162.08,6,0.814,0.55,14,0,230.6
102,50,26,476.38,0,0.658,0.543,13,0,593.6
103,13,34,202.17,7,0.625,0.76,6,2,283.0
104,29,32,71.18,3,0.71,0.311,0,4,105.3
105,27,6,127.46,1,0.461,0.117,4,3,170.5
106,46,18,231.44,7,0.98,0.244,17,1,307.3
107,25,13,507.42,8,0.746,0.137,2,2,645.3
108,22,33,150.61,0,0.283,0.299,18,4,191.2
109,43,32,476.57,7,0.539,0.345,17,6,607.7
110,21,13,539.52,3,0.572,0.234,13,0,669.0
111,21,31,389.35,6,0.386,0.664,20,1,512.9
112,33,38,185.94,1,0.874,0.44,16,3,239.6
113,1,10,228.44,2,0.075,0.782,8,2,311.7
114,6,22,469.53,8,0.38,0.317,22,6,605.8
115,32,35,24.57,1,0.235,0.684,9,1,61.5
116,7,7,246.8,4,0.903,0.046,1,2,308.5
117,23,24,239.72,3,0.531,0.566,5,1,321.8
118,25,40,377.31,7,0.913,0.143,14,5,487.0
119,17,30,144.15,0,0.899,0.465,9,5,184.6
120,23,38,168.04,6,0.69,0.457,9,1,238.3
121,25,31,63.13,6,0.572,0.575,22,2,125.0
122,26,18,9.41,0,0.911,0.745,9,6,32.3
123,52,15,335.85,5,0.219,0.19,8,5,437.2
124,44,9,347.4,0,0.309,0.441,18,2,431.4
125,47,9,54.12,4,0.327,0.416,6,1,101.3
126,24,34,278.48,4,0.83,0.257,15,6,349.2
127,19,22,443.31,7,0.963,0.141,7,6,557.9
128,26,36,204.35,6,0.014,0.537,14,2,289.1
129,44,17,323.59,5,0.108,0.234,0,4,428.9
130,59,40,125.65,1,0.635,0.464,22,2,167.9
131,42,27,68.59,0,0.946,0.304,15,0,97.6
132,9,25,252.24,8,0.419,0.742,4,3,362.7
133,42,7,459.36,6,0.939,0.28,22,2,581.0
134,16,24,59.15,5,0.544,0.978,11,0,124.0
135,26,18,108.45,1,0.949,0.824,2,5,156.4
136,2,4,433.8,3,0.989,0.787,6,0,556.5
137,54,36,117.9,3,0.813,0.233,4,6,160.9
138,55,10,543.2,8,0.251,0.174,21,6,695.2
139,2,9,13.1,3,0.589,0.016,8,0,35.7
140,8,5,264.55,5,0.513,0.109,16,1,348.0
141,40,3,401.35,8,0.302,0.643,0,0,543.9
142,28,7,272.2,7,0.073,0.081,19,1,367.0
143,5,9,154.88,8,0.712,0.381,19,4,226.4
144,28,7,437.24,1,0.853,0.651,17,5,551.2
145,56,14,239.39,3,0.414,0.827,12,3,326.8
146,21,17,208.99,2,0.687,0.474,2,6,270.9
